212.7267 	DATA 	Keypress: o
217.7222 	Level finished 	25
217.7236 	DATA 	Keypress: o
217.7247 	DATA 	Keypress: o
217.7256 	DATA 	Keypress: o
218.1032 	Level e.jpg at position=right and f.jpg at position=left 	25
219.7234 	DATA 	Keypress: 2
219.7247 	DATA 	Keypress: o
219.7586 	Level keypress=2 at time= 1.597944 	25
219.7591 	Level injecting via pump at address 2 and a keypress of 2 and image of e.jpg 	25
224.7280 	DATA 	Keypress: o
224.7295 	DATA 	Keypress: o
225.7252 	DATA 	Keypress: o
225.7428 	Level RINSE 	25
227.7278 	DATA 	Keypress: o
233.7222 	Level finished 	25
233.7236 	DATA 	Keypress: o
233.7246 	DATA 	Keypress: o
233.7255 	DATA 	Keypress: o
234.1036 	Level b.jpg at position=right and a.jpg at position=left 	25
235.7237 	DATA 	Keypress: 1
235.7253 	DATA 	Keypress: o
235.7438 	Level keypress=1 at time= 1.596336 	25
235.7442 	Level injecting via pump at address 1 and a keypress of 1 and image of a.jpg 	25
240.7276 	DATA 	Keypress: o
240.7286 	DATA 	Keypress: o
241.7246 	DATA 	Keypress: o
241.7448 	Level RINSE 	25
243.7266 	DATA 	Keypress: o
247.7222 	Level finished 	25
247.7242 	DATA 	Keypress: o
247.7258 	DATA 	Keypress: o
248.1154 	Level a.jpg at position=right and b.jpg at position=left 	25
249.7233 	DATA 	Keypress: 2
249.7245 	DATA 	Keypress: o
249.7454 	Level keypress=2 at time= 1.594332 	25
249.7458 	Level injecting via pump at address 1 and a keypress of 2 and image of a.jpg 	25
254.7286 	DATA 	Keypress: o
254.7298 	DATA 	Keypress: o
255.7253 	DATA 	Keypress: o
255.7463 	Level RINSE 	25
257.7301 	DATA 	Keypress: o
261.7222 	Level finished 	25
261.7237 	DATA 	Keypress: o
261.7248 	DATA 	Keypress: o
262.0796 	Level e.jpg at position=right and f.jpg at position=left 	25
263.7233 	DATA 	Keypress: 1
263.7243 	DATA 	Keypress: 1
263.7254 	DATA 	Keypress: o
263.7304 	Level keypress=1 at time= 1.609265 	25
263.7309 	Level injecting via pump at address 2 and a keypress of 1 and image of f.jpg 	25
268.7285 	DATA 	Keypress: o
268.7297 	DATA 	Keypress: o
269.7250 	DATA 	Keypress: o
269.7480 	Level RINSE 	25
271.7272 	DATA 	Keypress: o
275.7222 	Level finished 	25
275.7236 	DATA 	Keypress: o
275.7247 	DATA 	Keypress: o
276.1054 	Level b.jpg at position=left and a.jpg at position=right 	25
277.7235 	DATA 	Keypress: 2
277.7247 	DATA 	Keypress: o
277.7487 	Level keypress=2 at time= 1.607832 	25
277.7491 	Level injecting via pump at address 2 and a keypress of 2 and image of a.jpg 	25
282.7279 	DATA 	Keypress: o
282.7291 	DATA 	Keypress: o
283.7245 	DATA 	Keypress: o
283.7496 	Level RINSE 	25
285.7284 	DATA 	Keypress: o
288.7222 	Level finished 	25
288.7239 	DATA 	Keypress: o
289.1024 	Level e.jpg at position=right and f.jpg at position=left 	25
290.7233 	DATA 	Keypress: o
290.7243 	DATA 	Keypress: 1
290.7252 	DATA 	Keypress: 1
290.7261 	DATA 	Keypress: 1
290.7502 	Level keypress=1 at time= 1.607243 	25
290.7507 	Level injecting via pump at address 2 and a keypress of 1 and image of f.jpg 	25
295.7283 	DATA 	Keypress: o
295.7293 	DATA 	Keypress: o
295.7303 	DATA 	Keypress: o
296.7511 	Level RINSE 	25
298.7267 	DATA 	Keypress: o
303.7222 	Level finished 	25
303.7239 	DATA 	Keypress: o
303.7251 	DATA 	Keypress: o
303.7263 	DATA 	Keypress: o
304.1072 	Level c.jpg at position=right and d.jpg at position=left 	25
305.7239 	DATA 	Keypress: 1
305.7257 	DATA 	Keypress: o
305.7520 	Level keypress=1 at time= 1.588346 	25
305.7524 	Level injecting via pump at address 2 and a keypress of 1 and image of d.jpg 	25
310.7276 	DATA 	Keypress: o
310.7289 	DATA 	Keypress: o
311.7248 	DATA 	Keypress: o
311.7363 	Level RINSE 	25
313.7273 	DATA 	Keypress: o
318.7222 	Level finished 	25
318.7238 	DATA 	Keypress: o
318.7248 	DATA 	Keypress: o
319.1019 	Level b.jpg at position=left and a.jpg at position=right 	25
320.7233 	DATA 	Keypress: o
320.7246 	DATA 	Keypress: 2
320.7371 	Level keypress=2 at time= 1.587273 	25
320.7376 	Level injecting via pump at address 1 and a keypress of 2 and image of a.jpg 	25
325.7286 	DATA 	Keypress: o
325.7300 	DATA 	Keypress: o
325.7311 	DATA 	Keypress: o
326.7380 	Level RINSE 	25
328.7286 	DATA 	Keypress: o
332.7222 	Level finished 	25
332.7239 	DATA 	Keypress: o
332.7251 	DATA 	Keypress: o
333.1095 	Level a.jpg at position=right and b.jpg at position=left 	25
334.7233 	DATA 	Keypress: o
334.7243 	DATA 	Keypress: 2
334.7554 	Level keypress=2 at time= 1.585385 	25
334.7558 	Level injecting via pump at address 1 and a keypress of 2 and image of a.jpg 	25
339.7292 	DATA 	Keypress: o
339.7308 	DATA 	Keypress: o
339.7320 	DATA 	Keypress: o
340.7397 	Level RINSE 	25
342.7270 	DATA 	Keypress: o
346.7222 	Level finished 	25
346.7239 	DATA 	Keypress: o
346.7252 	DATA 	Keypress: o
347.0961 	Level c.jpg at position=left and d.jpg at position=right 	25
348.7233 	DATA 	Keypress: o
348.7245 	DATA 	Keypress: 2
348.7404 	Level keypress=2 at time= 1.600481 	25
348.7409 	Level injecting via pump at address 2 and a keypress of 2 and image of d.jpg 	25
353.7272 	DATA 	Keypress: o
353.7283 	DATA 	Keypress: o
353.7293 	DATA 	Keypress: o
354.7413 	Level RINSE 	25
356.7286 	DATA 	Keypress: o
362.7222 	Level finished 	25
362.7240 	DATA 	Keypress: o
362.7252 	DATA 	Keypress: o
362.7261 	DATA 	Keypress: o
363.1081 	Level f.jpg at position=right and e.jpg at position=left 	25
364.7234 	DATA 	Keypress: o
364.7247 	DATA 	Keypress: 1
364.7422 	Level keypress=1 at time= 1.582244 	25
364.7427 	Level injecting via pump at address 2 and a keypress of 1 and image of e.jpg 	25
369.7266 	DATA 	Keypress: o
369.7278 	DATA 	Keypress: o
369.7287 	DATA 	Keypress: o
370.7431 	Level RINSE 	25
372.7267 	DATA 	Keypress: o
